pop_2009,per_capita_09,PCT_LACCESS_POP10,PCT_LACCESS_HHNV10,GROC09,RECFAC09,PCT_LACCESS_LOWI10,SUPERC09,CONVS09,SPECS09,WICS08,PCH_GROC_09_14,FFR09,FSR09,PCT_NSLP09,PCT_CACFP09,PCT_DIABETES_ADULTS08,PCT_OBESE_ADULTS08,METRO13
44689,32160,26.9298828,4.868376183,11,7,13.98294659,1,40,3,12,FALSE,35,27,13.13427904,1.424865129,13.2,31.4,0
61946,39681,10.31480846,2.370618845,21,6,3.466378486,0,64,5,0,FALSE,47,84,8.823179362,1.14738806,8.1,25.1,0
11547,19162,17.84085632,1.51864156,3,0,7.246712806,0,2,1,3,FALSE,9,10,10.99772869,0.626018485,7.7,26.5,1
39148,33424,5.470637095,2.54436324,4,2,1.076820855,1,13,1,5,FALSE,19,13,12.27079455,0.953634165,10.3,29.8,1
3977,39362,26.49538429,2.19681401,2,0,10.3657825,0,3,1,1,FALSE,1,4,7.990852609,1.056841824,10.6,28.2,1
21026,33287,32.93812601,4.741750837,13,2,11.3071405,0,10,5,5,FALSE,18,27,7.990852609,1.056841824,12.2,30.6,0
8073,27149,5.587882783,5.030758216,1,1,3.520675351,0,6,0,1,FALSE,3,5,13.13427904,1.424865129,13.1,30.5,1
99494,26483,25.56735791,1.798939078,19,7,9.267998182,1,45,0,13,FALSE,47,37,13.13427904,1.424865129,10.6,32.2,1
62177,31346,21.36714573,4.461878697,13,7,9.831232608,1,33,2,15,FALSE,35,43,11.41667358,1.242679735,11.9,31.2,0
388577,38148,18.32060918,0.580236151,37,42,3.818424722,9,104,41,30,TRUE,299,303,10.99772869,0.626018485,7.1,22,1
218652,47138,29.48450894,1.797974748,27,38,3.877771857,3,92,12,15,FALSE,141,204,9.275093311,1.440967568,7.7,25.7,1
95482,28902,25.01992385,2.705248782,19,5,10.29967191,3,28,3,15,TRUE,79,65,12.18051878,1.521881327,10.1,31.9,1
5180,27844,7.210911711,1.403212738,0,0,2.652796103,0,1,0,1,FALSE,1,1,13.13134268,1.224744981,10.3,28,0
29459,24950,33.324328,3.387612357,6,0,13.72995538,1,24,0,9,FALSE,11,13,11.87019433,1.546710785,11.5,31.8,0
98274,36159,26.88881969,2.120802784,14,12,7.811394606,3,43,7,15,FALSE,84,77,10.51943013,1.138312513,6.9,26.4,1
25553,24286,4.916826888,3.359637738,8,1,2.799873346,0,14,0,0,FALSE,13,9,13.74378556,1.291363538,12.4,32,0
34592,20343,11.22468624,2.44674632,5,1,5.679219649,1,18,1,6,FALSE,12,9,8.417275916,0.974292275,9.9,29.6,0
24893,27487,10.53127453,3.419992949,3,3,5.372358895,1,17,2,4,TRUE,11,7,13.13427904,1.424865129,12.3,31.4,0
219466,40970,25.90807868,2.432593739,57,27,9.212848045,5,117,18,22,FALSE,184,178,13.06603005,1.313646519,8.8,27.8,1
34768,25087,22.73603405,6.492134421,4,2,12.4886666,1,45,1,0,FALSE,22,15,13.74378556,1.291363538,13.7,34.3,0
34008,40841,24.76413303,2.434309294,6,4,9.134753424,1,12,5,5,TRUE,35,41,8.887484884,1.409349234,8.2,23.1,0
32658,27268,9.720046315,3.268422074,8,6,4.289920781,2,21,0,9,FALSE,25,26,9.142336596,0.840354004,9.3,31.1,0
33415,32764,4.60604867,7.706417418,10,3,1.685873408,0,32,4,7,TRUE,21,37,9.549006101,0.747406627,11.8,31.4,0
20700,26196,9.968457118,5.533294274,3,1,3.558647738,0,6,1,4,FALSE,8,11,10.25076102,1.358123605,9.2,26.3,1
20804,28207,15.9840199,4.413208868,6,0,10.00935442,0,22,1,0,FALSE,9,15,13.74378556,1.291363538,14.1,35.3,0
11593,23869,16.01789657,4.759128203,2,1,7.015886066,0,10,1,6,TRUE,3,17,9.142336596,0.840354004,11.7,31.9,0
10443,27476,10.60318096,3.83701015,1,0,5.169892861,0,6,0,1,FALSE,1,1,12.18051878,1.521881327,10,28.9,1
3568,26484,4.150295358,0.321040214,1,0,2.257027425,0,3,0,1,FALSE,1,1,13.13134268,1.224744981,10.8,26.8,0
6026,25086,30.5329736,2.244952586,5,0,11.82644142,0,7,1,1,FALSE,4,4,13.13134268,1.224744981,9.9,26.9,0
19768,33058,19.76341132,1.551217759,4,2,7.536137099,1,14,0,3,FALSE,10,8,13.13134268,1.224744981,10.4,26.9,0
8506,26149,10.87259574,1.638539855,2,0,4.229960881,0,4,0,3,FALSE,4,5,13.11203063,1.247799097,8.1,27.2,0
8565,35423,19.99743158,1.352379427,3,3,4.857316216,0,6,0,3,TRUE,7,11,10.36691348,1.751520385,8.3,22.9,0
46035,37962,24.01278168,2.465796186,10,7,5.811238009,1,25,7,11,TRUE,36,36,11.67903545,1.773987916,7.7,28.7,0
37205,30746,20.57471828,1.438601266,6,4,7.295231539,1,20,2,5,FALSE,25,31,12.27079455,0.953634165,10.9,32,0
112350,35939,22.19225662,1.650839825,20,11,4.470727128,2,48,4,11,FALSE,73,68,10.99078913,0.954011703,10.4,31.9,1
45876,34574,8.3085439,1.951380724,8,5,2.933782256,1,22,7,10,TRUE,29,47,10.51943013,1.138312513,8.5,28.6,0
59197,39167,28.39133871,1.126846419,10,3,4.334926866,2,17,2,9,FALSE,23,28,12.27079455,0.953634165,9.6,30,1
26127,29983,6.546216413,2.214153289,8,3,2.34803912,0,21,2,7,FALSE,11,25,11.67903545,1.773987916,7.6,26.1,1
6793,27859,0.045857346,2.960242807,3,0,0.022519125,0,4,0,3,FALSE,4,7,13.22995017,1.060774254,12.5,31.7,0
16295,28821,0.711715276,1.96425707,5,1,0.145689916,1,15,1,4,FALSE,15,24,13.13427904,1.424865129,11.9,25.8,0
24697,27100,17.60199978,3.114533711,2,3,8.36083844,1,21,1,8,FALSE,15,14,13.22995017,1.060774254,9.5,32.7,1
16860,31805,78.01478363,60.87101742,25,1,38.56978363,0,5,0,21,FALSE,5,4,7.66729709,1.413655216,5.5,31.9,0
137833,35170,23.430694,1.649517972,18,14,5.938786525,2,78,9,17,TRUE,100,76,9.549006101,0.747406627,11.5,34.5,1
23220,30171,9.935470357,5.976979428,2,1,4.66299401,1,16,0,10,TRUE,17,13,13.22995017,1.060774254,12.2,34.2,0
251803,35089,23.95326238,0.98807394,43,24,5.866937439,5,86,8,19,TRUE,171,158,11.87019433,1.546710785,9.2,29.2,1
32305,28074,24.5871684,6.419065132,4,2,15.7383946,1,24,3,1,FALSE,22,23,13.74378556,1.291363538,14.7,37.4,0
26024,28746,28.13439925,5.320786413,6,3,15.43100447,0,12,0,7,FALSE,14,13,12.18051878,1.521881327,13.4,33.5,0
10987,23585,37.47465226,7.285560969,2,0,20.15173014,0,2,1,2,FALSE,4,2,12.31505542,0.916089934,14.9,37.8,0
15714,49848,0.240979131,2.708653305,13,5,0.053076417,0,5,0,4,FALSE,17,39,7.990852609,1.056841824,6.1,18.4,0
5660,43276,15.36296752,0.54735883,2,1,4.268998485,0,5,0,2,FALSE,1,5,6.954297724,0.387917907,8,29.2,0
64381,31610,12.69377501,2.821247721,14,5,4.403527983,1,26,4,10,FALSE,38,67,9.275093311,1.440967568,8.8,28.6,1
4770,31289,99.99999998,2.897016541,1,0,38.07988114,0,10,0,2,TRUE,1,4,11.87019433,1.546710785,11.7,31.5,0
73743,30696,25.48179255,1.889620189,7,7,7.158891978,0,35,0,7,FALSE,42,18,13.22995017,1.060774254,10,32.3,1
71077,34321,21.63385394,1.640464185,15,7,6.711319964,1,31,4,9,TRUE,45,83,7.990852609,1.056841824,9.4,27,0
77759,28352,17.02871569,1.997273754,15,2,6.868046952,1,36,8,12,TRUE,62,31,12.18051878,1.521881327,12.5,37.4,1
6004,34958,71.58454725,5.842718315,0,1,27.72134105,1,2,1,1,FALSE,7,7,12.64728619,1.678405334,10.2,29.6,0
4188,46026,100,5.234698822,1,0,39.21897349,0,3,0,1,TRUE,0,5,12.64728619,1.678405334,8.4,30.3,0
35160,26516,48.30437547,1.778210859,10,6,29.7211497,0,15,3,5,FALSE,12,17,8.590151677,0.886967643,6.5,28.4,0
23242,28056,46.16176519,4.783441565,1,2,21.93913654,1,8,1,2,FALSE,13,13,10.77667438,1.05044108,8,28.9,0
33210,24712,16.73755713,5.183763849,12,1,9.230867563,0,29,1,6,FALSE,14,17,10.9781941,0.73534796,13,32.5,1
60213,40890,40.17067955,1.746411212,9,4,13.48302854,1,22,6,12,FALSE,34,43,12.51058988,2.552547446,8.2,27,0
20147,23372,18.63743132,5.210974262,4,0,10.07945062,0,13,0,3,FALSE,3,8,8.417275916,0.974292275,12.3,29.5,0
16774,40729,3.056223709,1.356296896,4,0,0.442487967,0,8,1,3,FALSE,7,13,8.898951226,0.961596182,8.9,27.4,1
51422,32792,15.17470555,1.498204961,9,7,3.636417687,1,20,5,9,FALSE,31,38,11.67903545,1.773987916,6.8,28.9,0
24234,22491,9.657369667,5.330142572,4,1,4.729644202,1,25,3,4,TRUE,14,14,10.9781941,0.73534796,13,35.4,1
8375,25029,3.510611284,6.583525707,2,1,1.901733937,0,5,0,3,FALSE,5,7,10.99078913,0.954011703,12.1,31.1,0
1131351,32578,19.5823161,0.872331931,230,87,6.109837646,19,505,89,123,FALSE,854,931,8.417275916,0.974292275,9.5,23.7,1
14009,25438,6.673741789,9.805700045,5,0,3.44258838,0,8,0,20,FALSE,8,4,13.22995017,1.060774254,15.7,37.5,0
2283,28818,50.40444621,10.98691662,2,1,19.65067607,0,0,0,2,FALSE,1,2,8.887484884,1.409349234,8.4,24.6,0
170676,52354,26.59790108,1.061021763,17,23,2.133815784,5,42,9,16,FALSE,150,127,9.703633786,1.072691744,8.7,26.9,1
153052,33690,13.61385191,2.733018795,15,11,3.087550084,3,42,12,15,TRUE,91,100,9.130029932,0.979232698,7.9,27.6,1
43701,32169,2.720091657,2.216637865,10,4,0.875700115,1,25,3,8,TRUE,23,36,9.130029932,0.979232698,9.3,29.6,0
69535,32338,18.84993254,2.871258734,7,5,5.920285495,2,37,2,10,FALSE,34,39,11.87019433,1.546710785,11.1,32.3,1
23060,32249,15.19890218,0.811849033,4,0,4.098938214,1,7,2,3,FALSE,13,15,8.898951226,0.961596182,8.3,26.6,1
101009,26462,26.99146799,1.8993247,30,8,12.27112912,2,65,3,24,FALSE,82,53,13.13427904,1.424865129,10.5,29,1
49600,31297,31.6398786,3.711831499,6,2,12.13865929,1,30,3,4,FALSE,29,32,13.13134268,1.224744981,10.8,25.5,0
23212,26178,11.99679042,5.972846857,5,2,5.153269465,0,26,0,7,TRUE,12,6,9.549006101,0.747406627,10.4,26.8,1
41798,34384,15.32450949,1.643382651,10,3,4.83429226,1,20,3,6,FALSE,34,24,12.27079455,0.953634165,9.9,29.6,0
10872,34517,8.535550629,0.915542752,2,0,2.435683955,0,7,5,2,FALSE,7,17,11.67903545,1.773987916,8.2,27.3,0
16816,24198,18.37407411,4.542105012,3,0,8.09938601,0,13,1,4,FALSE,9,7,10.77667438,1.05044108,9.1,30.3,1
21054,39115,20.22041443,0.966219302,3,2,7.190149554,1,15,3,4,FALSE,15,23,10.36691348,1.751520385,6.3,30.3,0
5781,42748,5.237080526,1.668886341,4,2,1.753190223,0,4,1,3,FALSE,2,4,10.77667438,1.05044108,10.7,29,0
22456,25179,29.40662047,5.069173674,6,0,15.51501097,1,23,0,11,FALSE,12,13,13.13427904,1.424865129,12.5,31.8,0
9684,38733,47.55056192,3.823324158,3,0,15.0579045,0,8,0,4,TRUE,6,7,13.11203063,1.247799097,9.4,29.2,0
67347,31480,11.23459251,4.711485048,12,6,3.875936132,2,51,1,12,FALSE,45,39,12.31505542,0.916089934,13.3,33.1,1
157910,37993,32.97498534,2.973033366,32,20,6.420244294,1,50,12,18,TRUE,93,162,8.304766434,0.852798333,7.2,21.3,1
13373,31960,7.534713645,2.310432613,2,2,3.801324925,0,7,1,2,FALSE,12,8,11.87019433,1.546710785,12,33.2,0
10143,31249,0.003080741,8.500946307,2,0,0.001228397,0,6,0,5,FALSE,3,2,10.25076102,1.358123605,13.1,31.9,1
12996,28625,11.52805018,2.105048462,6,1,5.082756324,0,9,0,5,FALSE,8,13,13.22995017,1.060774254,12.4,34.5,0
21415,34958,19.47850885,0.241640895,5,1,5.013252065,2,4,1,3,FALSE,9,15,7.990852609,1.056841824,10,30.5,1
9596,30222,1.247280029,5.934911907,4,0,0.447497869,0,9,1,3,TRUE,4,3,13.13427904,1.424865129,13.9,34.5,1
